timestamp,region,pm25,temperature,humidity
2025-01-06T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,22.3,42.1
2025-01-06T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,33.92,48.5
2025-01-06T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,29.11,54.13
2025-01-06T14:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,23.38,46.39
2025-01-06T18:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,33.88,54.54
2025-01-06T21:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,32.17,37.16
2025-01-07T01:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,32.66,44.02
2025-01-07T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,30.76,44.25
2025-01-07T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,33.05,49.38
2025-01-07T13:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,21.86,51.59
2025-01-07T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,32.85,63.93
