timestamp,region,pm25,temperature,humidity
2025-01-09T14:30:00.000Z,US Diplomatic Post: New Delhi-8118,371.0,20.01,39.71
2025-01-09T18:30:00.000Z,US Diplomatic Post: New Delhi-8118,347.0,28.07,30.97
2025-01-09T21:30:00.000Z,US Diplomatic Post: New Delhi-8118,373.0,33.17,38.06
2025-01-10T01:30:00.000Z,US Diplomatic Post: New Delhi-8118,157.0,21.62,68.58
2025-01-10T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,248.0,23.29,54.99
2025-01-10T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,209.0,25.41,49.59
2025-01-10T13:30:00.000Z,US Diplomatic Post: New Delhi-8118,217.0,20.82,53.69
2025-01-10T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,290.0,26.35,42.56
2025-01-10T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,188.0,31.2,69.44
2025-01-11T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,138.0,24.24,69.39
