timestamp,region,pm25,temperature,humidity
2024-12-31T21:30:00.000Z,New Delhi-8118,286.0,23.27,33.96
2025-01-01T01:30:00.000Z,New Delhi-8118,185.0,27.03,42.15
2025-01-01T05:30:00.000Z,New Delhi-8118,193.0,21.52,44.75
2025-01-01T09:30:00.000Z,New Delhi-8118,196.0,27.56,67.78
2025-01-01T13:30:00.000Z,New Delhi-8118,206.0,26.22,55.43
2025-01-01T17:30:00.000Z,New Delhi-8118,205.0,27.88,47.46
2025-01-01T20:30:00.000Z,New Delhi-8118,158.0,22.92,44.03
2025-01-02T00:30:00.000Z,New Delhi-8118,174.0,21.27,55.27
2025-01-02T04:30:00.000Z,New Delhi-8118,204.0,32.23,35.86
2025-01-02T08:30:00.000Z,New Delhi-8118,190.0,28.48,47.04
2025-01-02T12:30:00.000Z,New Delhi-8118,198.0,25.39,58.9
2025-01-02T16:30:00.000Z,New Delhi-8118,291.0,25.58,67.17
2025-01-02T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,210.0,24.48,35.4
2025-01-02T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,220.0,30.12,30.7
2025-01-03T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,180.0,23.04,52.32
2025-01-03T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,431.0,30.37,37.58
2025-01-03T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,208.0,31.6,49.57
2025-01-03T15:30:00.000Z,US Diplomatic Post: New Delhi-8118,261.0,23.01,65.48
,location,,23.34,42.91
2025-01-03T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,195.0,33.95,58.46
2025-01-04T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,167.0,30.94,34.59
2025-01-04T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,416.0,30.94,46.27
2025-01-04T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,352.0,21.5,60.2
2025-01-04T14:30:00.000Z,US Diplomatic Post: New Delhi-8118,283.0,20.08,58.43
2025-01-04T18:30:00.000Z,US Diplomatic Post: New Delhi-8118,308.0,21.71,58.59
2025-01-04T21:30:00.000Z,New Delhi-8118,-999.0,22.1,62.27
2025-01-05T01:30:00.000Z,New Delhi-8118,-999.0,28.43,53.76
2025-01-05T05:30:00.000Z,New Delhi-8118,-999.0,29.99,65.63
2025-01-05T09:30:00.000Z,New Delhi-8118,-999.0,34.67,36.4
2025-01-05T13:30:00.000Z,New Delhi-8118,-999.0,25.77,51.19
2025-01-05T17:30:00.000Z,New Delhi-8118,-999.0,30.83,30.11
2025-01-05T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,26.25,41.42
